"values__data__x","Gasprice","Gasday"
"1660860000000","234.537","2022-08-19"
"1660946400000","243.841","2022-08-20"
"1661032800000","243.841","2022-08-21"
"1661119200000","244.68","2022-08-22"
"1661205600000","282.309","2022-08-23"
"1661292000000","272.212","2022-08-24"
"1661378400000","283.492","2022-08-25"
"1661464800000","312.156","2022-08-26"
"1661551200000","312.137","2022-08-27"
"1661637600000","312.137","2022-08-28"
"1661724000000","312.137","2022-08-29"
"1661810400000","313.553","2022-08-30"
"1661896800000","262.711","2022-08-31"
"1661983200000","244.325","2022-09-01"
"1662069600000","229.117","2022-09-02"
"1662156000000","194.61","2022-09-03"
"1662242400000","194.61","2022-09-04"
"1662328800000","194.04","2022-09-05"
"1662415200000","233.347","2022-09-06"
"1662501600000","212.006","2022-09-07"
"1662588000000","215.547","2022-09-08"
"1662674400000","198.332","2022-09-09"
"1662760800000","193.91","2022-09-10"
"1662847200000","193.91","2022-09-11"
"1662933600000","194.45","2022-09-12"
"1663020000000","186.644","2022-09-13"
"1663106400000","189.042","2022-09-14"
"1663192800000","210.517","2022-09-15"
"1663279200000","212.864","2022-09-16"
"1663365600000","170.953","2022-09-17"
"1663452000000","170.953","2022-09-18"
"1663538400000","171.008","2022-09-19"
"1663624800000","164.889","2022-09-20"
"1663711200000","170.398","2022-09-21"
"1663797600000","185.602","2022-09-22"
"1663884000000","175.829","2022-09-23"
"1663970400000","167.866","2022-09-24"
"1664056800000","167.866","2022-09-25"
"1664143200000","169.689","2022-09-26"
"1664229600000","166.093","2022-09-27"
"1664316000000","189.562","2022-09-28"
"1664402400000","200.991","2022-09-29"
"1664488800000","184.858","2022-09-30"
"1664575200000","164.578","2022-10-01"
"1664661600000","164.578","2022-10-02"
"1664748000000","164.097","2022-10-03"
